year,notalk,ok,men,nowomen,dubious
1970,0,1,0,0,0
1971,4,0,1,0,0
1972,2,1,0,0,0
1973,3,1,1,0,0
1974,4,2,1,0,0
1975,2,0,2,0,1
1976,4,3,1,0,0
1977,4,2,0,1,0
1978,2,2,1,2,1
1979,2,2,0,1,0
1980,2,4,3,2,3
1981,5,1,0,3,0
1982,4,3,2,2,3
1983,1,2,1,1,0
1984,4,3,4,2,3
1985,2,4,1,2,1
1986,1,4,1,2,2
1987,6,2,1,1,4
1988,6,9,3,1,0
1989,6,4,3,1,0
1990,3,6,4,1,1
1991,3,6,2,0,2
1992,7,4,2,6,1
1993,2,8,2,3,1
1994,11,9,3,3,0
1995,11,18,2,3,2
1996,15,21,2,1,3
1997,12,28,7,1,3
1998,24,24,7,3,4
1999,17,23,6,3,7
2000,16,29,8,7,3
2001,17,33,5,5,4
2002,27,37,8,5,3
2003,13,34,5,7,5
2004,17,45,10,5,4
2005,24,54,10,6,6
2006,24,43,7,7,9
2007,16,41,5,6,5
2008,30,51,8,5,7
2009,40,42,20,11,11
2010,33,61,9,13,13
2011,41,53,10,7,13
2012,24,37,11,6,8
2013,23,46,15,6,9